a_cappella	without musical accompaniment
dejectedly	in a dejected manner
delightedly	with delight
delightfully	in a delightful manner
demurely	in a demure manner
densely	in a concentrated manner
compactly	in a compact manner or state
tightly	in a tight or constricted manner
possibly	by chance
possibly	to a degree possible of achievement or by possible means
impossibly	to a degree impossible of achievement
possibly	in a manner or to a degree possible of conceiving
impossibly	in a manner or to a degree not possible of conceiving
possibly	with a possibility of becoming actual
absurdly	in an absurd manner or to an absurd degree
derisively	in a disrespectful and mocking manner
descriptively	by giving a description
deservedly	as deserved
undeservedly	in an unmerited manner
despairingly	with desperation
developmentally	with respect to development
devilishly	in a playfully devilish manner
congenially	in a congenial manner
contagiously	in a contagious manner
controversially	involving controversy
uncontroversially	not involving any controversy
convivially	in a convivial manner
coquettishly	in a flirtatious manner
enviously	with jealousy
creakily	in a creaky manner
crushingly	in a crushing manner
reprehensibly	in a manner or to a degree deserving blame or censure
currishly	in a currish manner
daftly	in a mildly insane manner
daintily	in a refined manner
daintily	in a delicate manner
daringly	in an adventurous manner
daringly	in an original manner
dashingly	in a highly fashionable manner
daylong	during the entire day
deadly	as if produced by death
deadly	as if dead
decorously	in a proper and decorous manner
indecorously	without decorousness
willingly	in a willing manner
unwillingly	in an unwilling manner
deeply	to a great depth
deep	to far into space
deep	to an advanced time
late	at an advanced age or stage
defenseless	without defense
defensively	in a defensive manner
defensively	in an apologetic and defensive manner
offensively	in an aggressive manner
offensively	in an obnoxious manner
inoffensively	in a not unpleasantly offensive manner
offensively	in an unpleasantly offensive manner
distinctly	to a distinct degree
distinctly	in a distinct and distinguishable manner
distractedly	in a distracted manner
deferentially	in a respectfully deferential manner
deferentially	in a servile manner
deliriously	as if in a delirium
deliriously	in a delirious manner
delusively	in a deceptive and unrealistic manner
demonstrably	in an obvious and provable manner
desolately	in grief-stricken loneliness
diabolically	as a devil
diffidently	in a diffident manner
despicably	in a despicable manner
despitefully	in a maliciously spiteful manner
destructively	in a destructive manner
detestably	in an offensive and hateful manner
detrimentally	in a detrimental manner
harmlessly	in a harmless manner
deviously	in a devious manner
devotedly	with devotion
devoutly	in a devout and pious manner
dexterously	with dexterity
diagonally	in a diagonal manner
diagrammatically	in a diagrammatic manner
diametrically	as from opposite ends of a diameter
dictatorially	in an overbearingly domineering manner
didactically	in a didactic manner
differentially	in a differential manner
diligently	with diligence
direfully	in a direful manner
dirtily	in a filthy unclean manner
dirtily	in a sordid manner
disagreeably	in a disagreeable manner
disappointedly	in disappointment
disappointingly	in a disappointing manner
disastrously	in a disastrous manner
disconcertingly	in a disturbing or embarrassing manner
discontentedly	with discontent
disgracefully	in a dishonorable manner or to a dishonorable degree
disgustedly	with disgust
disgustedly	in a disgusted manner
disgustingly	in a disgusting manner or to a disgusting degree
honestly	in an honest manner
dishonestly	in a corrupt and deceitful manner
honestly	(used as intensives reflecting the speaker's attitude) it is sincerely the case that
hypocritically	in a hypocritical manner
dishonorably	with dishonor
honorably	with honor
disingenuously	in a disingenuous manner
disinterestedly	without selfish motives
disjointedly	in a disjointed manner
loyally	with loyalty
disloyally	without loyalty
dismally	in a dreadful manner
dismally	in a cheerless manner
obediently	in an obedient manner
disobediently	in a disobedient manner
dispassionately	in an impartially dispassionate manner
disparagingly	in a disparaging manner
dispiritedly	in a dispirited manner without hope
displeasingly	in a displeasing manner
disproportionately	to a disproportionate degree
proportionately	to a proportionate degree
disproportionately	out of proportion
proportionately	in proportion
disputatiously	in a disputatious manner
disquietingly	in a disquieting manner
disreputably	in a disreputable manner
reputably	in a reputable manner
respectfully	in a respectful manner
disrespectfully	in a disrespectful manner
distantly	from or at a distance
distastefully	in an offensively distasteful manner
distressfully	with distress
distributively	in a distributive manner
distributively	as individuals or as separate units (not collectively)
distrustfully	with distrust
trustfully	with trust
disturbingly	in a disturbing manner
doctrinally	as a matter of doctrine
dogmatically	in a narrow-minded dogmatic manner
dolefully	with sadness
domestically	with respect to home or family
domestically	with respect to the internal affairs of a government
domineeringly	in a domineering manner
double	two together
double	downward and forward
double_time	at a faster speed
doubtfully	in a doubtful manner
dowdily	in a dowdy unfashionable manner
downhill	toward the bottom of a hill
downhill	toward a lower or inferior state
drably	in a drab manner
dreamily	in a dreamy manner
droopingly	in a drooping manner
drowsily	in a drowsy manner
dumbly	in an inarticulate manner
dumbly	in a stupid manner
dutifully	out of a sense of duty
dynamically	in a forceful dynamic manner
east	to, toward, or in the east
west	to, toward, or in the west
westward	toward the west
eastward	toward the east
easterly	from the east
westerly	from the west
westerly	toward the west
ebulliently	in an ebullient manner
ecclesiastically	in an ecclesiastic manner
ecologically	with respect to ecology
ecstatically	in an ecstatic manner
edgeways	with the edge forward or on, by, or toward the edge
edgewise	as if by an edge
educationally	in an educational manner
eerily	in an unnatural eery manner
effectually	in an effectual manner
ineffectually	in an ineffectual manner
efficaciously	in an effective manner
inefficaciously	in an ineffective manner
elementarily	in an elementary manner
effusively	in an effusive manner
demonstratively	in a demonstrative manner
egotistically	in an egotistical manner
unselfishly	in an unselfish manner
elegantly	in a gracefully elegant manner
elegantly	with elegance
inelegantly	without elegance
eloquently	with eloquence
ineloquently	without eloquence
embarrassingly	causing embarrassment
eminently	in an eminent manner
emulously	in a competitively imitative manner
encouragingly	in an encouraging manner
discouragingly	in a discouraging manner
endways	with the end forward or toward the observer
endways	in or toward the direction of the ends
endways	on end or upright
enterprisingly	in an enterprising manner
entertainingly	in an entertaining manner
environmentally	for the environment
equably	in an equable manner
equitably	in an equitable manner
inequitably	in an inequitable manner
erectly	in a straight-backed manner
eruditely	with erudition
ethically	in an ethical manner
unethically	in an unethical manner
euphemistically	in a euphemistic manner
evasively	with evasion
evenly	in a level and regular way
regularly	in a regular way without variation
unevenly	in an uneven and irregular way
irregularly	in an irregular manner
regularly	having a regular form
irregularly	having an irregular form
evenly	in equal amounts or shares
unevenly	in an unequal or partial manner
evermore	at any future time
excitingly	in an exciting manner
unexcitingly	in an unexciting manner
excusably	in an excusable manner or to an excusable degree
inexcusably	in an unpardonable manner or to an unpardonable degree
exorbitantly	to an exorbitant degree
expediently	in an expedient manner
inexpediently	in an inexpedient manner
expensively	in an expensive manner
cheaply	in a cheap manner
explosively	suddenly and rapidly
explosively	in an explosive manner
exponentially	in an exponential manner
express	by express
expressively	with expression
inexpressively	without expression
extemporaneously	without prior preparation
extravagantly	in a wasteful manner
exuberantly	in an exuberant manner
faddishly	in a faddish manner
faithlessly	in a disloyal and faithless manner
falsely	in an incorrect manner
falsely	in an insincerely false manner
familiarly	in an intimately familiar manner
famously	in a manner or to an extent that is well known
fanatically	in a passionately fanatic manner
fancifully	in a fanciful manner
farcically	in a farcical manner
fashionably	in a fashionable manner
unfashionably	in an unfashionable manner
fastidiously	in a fastidious manner
civilly	in a civil manner
uncivilly	in an uncivil manner
fatefully	in a prophetically fateful manner
faultily	in an inaccurate manner
faultlessly	without a fault
fearsomely	in a fearsome manner
feebly	in a halting and feeble manner
feebly	in a faint and feeble manner
feelingly	with great feeling
unfeelingly	without compassionate feelings
felicitously	in a felicitous manner
infelicitously	in an infelicitous manner
fierily	with passionate fervor
fifthly	in the fifth place
figuratively	in a figurative sense
literally	in a literal sense
first-class	by first-class conveyance
firsthand	at first hand or directly
first-rate	quite well
fitfully	in a fitful manner
fixedly	in a fixed manner
flabbily	in a flabby manner
flagrantly	in a flagrant manner
flamboyantly	in a fancy colorful manner
flat	with flat sails
flexibly	with flexibility
inflexibly	in an inflexible manner
flimsily	in a weak and flimsy manner
flip-flap	with repeated strokes and noise
flippantly	in a flippant manner
flop	with a flopping sound
fluently	in a fluent manner
forbiddingly	in an unpleasant or menacing manner
forcefully	with full force
cold-bloodedly	in a cold-blooded manner
forcibly	in a forcible manner
forgetfully	in a forgetful manner
forgivingly	with forgiveness
unforgivingly	without forgiveness
forlornly	in a forlorn manner
formidably	in a formidable manner
formlessly	in a formless manner
piano	used as a direction in music
forte	used as a direction in music
pianissimo	a direction in music
fortissimo	a direction in music
foully	in a wicked and shameful manner
foully	in an unfair and insulting manner
fourfold	by a factor of four
millionfold	by a factor of a million
fourthly	in the fourth place
fractiously	in a fractious manner
fraternally	in a brotherly manner
fraudulently	in a dishonest and fraudulent manner
frenziedly	in a frenzied manner
frugally	in a frugal manner
functionally	with respect to function
frighteningly	in an alarming manner
frostily	without warmth or enthusiasm
fretfully	in a fretful manner
friskily	in a playfully frisky manner
frivolously	in a frivolous manner
frothily	in a frothy manner
gainfully	in a gainful way
gamely	in a plucky manner
garishly	in a tastelessly garish manner
genealogically	in a genealogical manner
generically	as sharing a common genus
generically	without a trademark or brand name
genteelly	in a genteel manner
geologically	with respect to geology
jeeringly	in a disrespectful jeering manner
gingerly	in a gingerly manner
gladly	in a willing manner
gleefully	in a joyous and gleeful manner
joylessly	in a joyless manner
glissando	(musical direction) in the manner of a glissando (with a rapidly executed series of notes)
gloatingly	in a gloating manner
gloriously	blessedly or wonderfully
gloriously	with glory or in a glorious manner
glossily	in a glossy manner
piggyback	on the back or shoulder or astraddle on the hip
piggyback	on a railroad flatcar
gloweringly	in a glowering manner
glowingly	in an enthusiastically glowing manner
gluttonously	in a gluttonous manner
goddam	extremely
good-naturedly	in a good-natured manner
gorgeously	in an impressively beautiful manner
grandly	in a grand manner
gratingly	in a harsh and grating manner
gratuitously	in an uncalled-for manner
greasily	in a greasy manner
gregariously	in a gregarious manner
grayly	having a grey appearance
grievously	in a grievous manner
gropingly	in an uncertain groping manner
grotesquely	in a grotesque manner
grudgingly	in a grudging manner
ungrudgingly	in a generous and ungrudging manner
gruesomely	in a gruesome manner
gruffly	in a gruff manner
guiltily	in the manner of someone who has committed an offense
gushingly	in a gushing manner
half-heartedly	without enthusiasm
half-hourly	every thirty minutes, every half hour
half-yearly	every half year, every six months
handsomely	in a generously handsome manner
handsomely	in an attractively handsome manner
haphazard	without care
haply	by accident
harmoniously	in a harmonious manner
harshly	in a harsh or unkind manner
roughly	with rough motion as over a rough surface
roughly	with roughness or violence (`rough' is an informal variant for `roughly')
hatefully	in a hateful manner
hazily	in an indistinct way
hazily	through a haze
headlong	with the head foremost
headlong	in a hasty and foolhardy manner
unadvisedly	in an unadvised manner
recklessly	in a reckless manner
headlong	at breakneck speed
heaps	very much
heartlessly	in a heartless manner
heatedly	in a heated manner
heavenward	toward heaven
heavy	slowly as if burdened by much weight
heinously	in a terribly evil manner
hereinafter	in a subsequent part of this document or statement or matter etc.
hereinbefore	in the preceding part of the current text
hereof	of or concerning this
hereto	to this writing or document
hereupon	immediately after this
hermetically	in an airtight manner
heroically	in a heroic manner
hideously	in a hideous manner
high	at a great altitude
high	far up toward the source
high	in or to a high position, amount, or degree
high	in a rich manner
high-handedly	in a domineering high-handed manner
high-mindedly	in a high-minded manner
questioningly	in a curious and questioning manner
insolently	in an insolent manner
loose	without restraint
about	in rotation or succession
hoarsely	in a hoarse or husky voice
horizontally	in a horizontal direction
vertically	in a vertical direction
hospitably	in a hospitable manner
inhospitably	in an inhospitable manner
hourly	every hour
huffily	in a huffy manner
hugger-mugger	in secrecy
humanely	in a humane manner
inhumanely	in an inhumane manner
humorously	in a humorous manner
humorlessly	in a humorless manner
hundredfold	by a factor of one hundred
hungrily	in the manner of someone who is very hungry
hydraulically	in a hydraulic manner
hygienically	in a hygienic manner
unhygienically	in an unhygienic manner
hysterically	in a hysterical manner
icily	in a cold and icy manner
identically	with complete identity
identifiably	in an identifiable manner
ideologically	with respect to ideology
idiomatically	in an idiomatic manner
idiotically	in an idiotic manner
idly	in an idle manner
idolatrously	in an idolatrous manner
ignorantly	in ignorance
legibly	in a legible manner
illegibly	in an illegible manner
illegitimately	of biological parents not married to each other
legitimately	in a lawfully recognized manner
illegitimately	in a manner disapproved or not allowed by custom
legitimately	in a manner acceptable to common custom
logically	in a logical manner
illogically	in an illogical manner
logically	according to logical reasoning
illustriously	in an illustrious manner
immaculately	in an immaculate manner
immovably	so as to be incapable of moving
impartially	in an impartial manner
morally	in a moral manner
immorally	without regard for morality
impassively	in an impassive manner
impenitently	in an impenitent manner
penitently	showing remorse
imperatively	in an imperative and commanding manner
imperceptibly	in an imperceptible manner or to an imperceptible degree
perceptibly	in a noticeable manner
imperiously	in an imperious manner
impersonally	in an impersonal manner
impersonally	without warmth
personally	in a personal way
personally	as yourself
impertinently	in an impudent or impertinent manner
impetuously	in an impulsive or impetuous way
impiously	in an impious manner
piously	in a pious manner
impishly	in an appealing but bold manner
implicitly	without ever expressing so clearly
explicitly	in an explicit manner
implicitly	without doubting or questioning
importantly	in an important way
importantly	in an important way or to an important degree
impracticably	to an impracticable degree
precisely	in a precise manner
imprecisely	in an imprecise manner
precisely	just as it should be
impregnably	in an impregnable manner
improvidently	in an improvident manner
providently	in a provident manner
prudently	in a prudent manner
imprudently	in an imprudent manner
adequately	in an adequate manner or to an adequate degree
inadequately	in an inadequate manner or to an inadequate degree
incisively	in an incisive manner
cuttingly	in an intentionally unkind way
incognito	without revealing one's identity
incomparably	in an incomparable manner or to an incomparable degree
comparably	in a comparable manner or to a comparable degree
incongruously	in an incongruous manner
conspicuously	in a manner tending to attract attention
inconspicuously	in a manner intended to avoid attracting attention
incriminatingly	in an incriminating manner
incurably	in a manner impossible to cure
incurably	to an incurable degree
indelibly	in an indelible manner
ineffably	to an inexpressible degree
indeterminably	in an indeterminable manner
indifferently	with indifference
indignantly	in an indignant manner
discreetly	with discretion
indiscreetly	without discretion or wisdom or self-restraint
indolently	in an indolent manner
indubitably	in a manner or to a degree that could not be doubted
indulgently	in an indulgent manner
industriously	in an industrious manner
inextricably	in an inextricable manner
influentially	exerting influence
informatively	in an informative manner
uninformatively	in an uninformative manner
infrequently	not many times
ingeniously	in an ingenious manner
ingratiatingly	in a pleasingly ingratiating manner
ingratiatingly	in a flattering and ingratiating manner
inherently	in an inherent manner
inimitably	in an unreproducible manner
iniquitously	in an iniquitous manner
innately	in an innate manner
innocently	in a naively innocent manner
innocently	in a not unlawful manner
inopportunely	at an inconvenient time
opportunely	at an opportune time
inquiringly	in an inquiring manner
insatiably	in an insatiable manner
insatiably	to an insatiable degree
securely	in an invulnerable manner
securely	in a manner free from fear or risk
insecurely	in a manner involving risk
securely	in a confident and unselfconscious manner
insecurely	in a tentative and self-conscious manner
sensitively	in a sensitive manner
insensitively	in an insensitive manner
insidiously	in a harmfully insidious manner
sincerely	with sincerity
insincerely	without sincerity
from_the_heart	very sincerely
insinuatingly	in an insinuating manner
insipidly	in an insipid manner
insomuch	to such an extent or degree
inspirationally	in an inspiring manner, "he talked inspirationally"
substantially	in a strong substantial way
insubstantially	not substantially
insultingly	in a disrespectful and insulting manner
insuperably	to an insuperable degree
interchangeably	in an interchangeable manner
interdepartmental	between departments
intermediately	to an intermediate degree
endlessly	(spatial sense) seeming to have no bounds
intermittently	in an intermittent manner
interrogatively	in a questioning format
intolerantly	in a narrow-minded manner
tolerantly	in a tolerant manner
intolerantly	showing intolerance
transitively	in a transitive manner
intransitively	in an intransitive manner
intravenously	in an intravenous manner
intuitively	in an intuitive manner
inventively	in an inventive manner
invidiously	in a manner arousing resentment
invincibly	in an invincible manner
invisibly	without being seen
visibly	in a visible manner
irately	in an irate manner
ironically	in an ironic manner
ironically	contrary to plan or expectation
irrelevantly	in an irrelevant manner
irretrievably	in an irretrievable manner
irreverently	in an irreverent manner
irreverently	without respect
irreversibly	in an irreversible manner
jarringly	in a manner that jars and irritates
jealously	with jealousy
immaturely	in an immature manner
maturely	in a mature manner
jerkily	with jerking motions
jokingly	in jest
jocosely	with humor
journalistically	by journalists
jovially	in a jovial manner
judiciously	in a judicious manner
injudiciously	in an injudicious manner
keenly	in a keen and discriminating manner
killingly	in a very humorous manner
laboriously	in a laborious manner
lackadaisically	in an idle and lackadaisical manner
lamely	in a weak and unconvincing manner
landward	toward land
langsyne	at a distant time in the past (chiefly Scottish)
languidly	in a languid and lethargic manner
languorously	in a languorous manner
large	with the wind abaft the beam
large	at a distance, wide of something (as of a mark)
lasciviously	in a lascivious manner
laterally	in a lateral direction or location
laterally	to or by or from the side
laughably	so as to arouse or deserve laughter
laxly	in a permissively lenient manner
under_arms	armed and prepared for fighting
lazily	in a slow and lazy manner
left	toward or on the left
right	toward or on the right
legato	connecting the notes
staccato	separating the notes
lengthways	in the direction of the length
longitudinally	across time
lento	in music
lethargically	without energy
lewdly	in a lewd and obscene manner
licentiously	in a licentious and promiscuous manner
lifelessly	in a lifeless manner
lifelessly	without animation or vitality
longingly	in a yearning manner
lucidly	in a clear and lucid manner
lukewarmly	in an unenthusiastically lukewarm manner
luxuriantly	in an elegantly luxuriant way
luxuriantly	in an abundant and luxuriant manner
manageably	so as to be manageable
unmanageably	so as to be unmanageable
manfully	in a manful manner
unmanfully	without qualities thought to befit a man
lightly	with few burdens
light-handedly	in a light-handed manner
light-heartedly	in a light-hearted manner
lightsomely	moving with quick light steps
limnologically	with regard to or concerning limnology
limply	without rigidity
lineally	by an unbroken line of descent
matrilineally	by descent through the female line
patrilineally	by descent through the male line
lingeringly	in a slow, leisurely or prolonged way
lispingly	with a lisp
listlessly	in a listless manner
lividly	in a livid manner
loftily	in a lofty manner
logarithmically	in a logarithmic manner
longer	for more time
longest	for the most time
loquaciously	in a chatty loquacious manner
low	in a low position
lowest	in the lowest position
lugubriously	in a sorrowful lugubrious manner
luridly	in a lurid manner
lusciously	so as to produce a delightful taste
lustfully	in a lustful manner
lyrically	in a lyrical manner
magnanimously	in a magnanimous manner
grandiloquently	in a rhetorically grandiloquent manner
majestically	in a majestic manner
benevolently	in a benevolent manner
malevolently	in a malevolent manner
malignantly	in a malignant manner, as of a tumor that spreads
malignly	in a malign and evil manner
managerially	in a managerial manner
mangily	in a mangy manner
maniacally	in a maniacal manner or to a maniacal degree
manipulatively	in an artfully manipulative manner
masochistically	in a masochistic manner
massively	to a massive degree or in a massive manner
masterfully	in a domineering and masterful manner
masterfully	in a skillfully masterful manner
materialistically	in a materialistic manner
maternally	in a maternal manner
mawkishly	in a mawkish and emotional manner
maximally	to a maximal degree
minimally	to a minimal degree
meagerly	to a meager degree or in a meager manner
amply	to an ample degree or in an ample manner
meanderingly	in a meandering manner
meaningfully	in a meaningful manner
meanly	in a miserly manner
meanly	poorly or in an inferior manner
meanly	in a despicable, ignoble manner
meanspiritedly	in a meanspirited manner
immeasurably	to an immeasurable degree
measurably	to a measurable degree
mechanistically	in a mechanistic manner
medially	in a medial position
meditatively	in a meditative manner
mellowly	(obsolete) in a mellow manner
melodiously	in a melodious manner
unmelodiously	in an unmelodious manner
melodramatically	in an overly emotional manner
melodramatically	as in a melodrama
memorably	in a memorable manner
unmemorably	in an unmemorable manner
menacingly	in a menacing manner
mendaciously	in a mendacious and untruthful manner
truthfully	with truth
menially	in a menial manner
mercilessly	without pity
meretriciously	in a meretricious manner
meritoriously	in a meritorious manner
messily	in a messy, untidy manner
tidily	in a tidy manner
methodologically	in a methodical manner
metrically	with regard to meter
rhythmically	in a rhythmic manner
mindlessly	in an unreasonably senseless manner
mindlessly	without intellectual involvement
amidships	at or near or toward the center of a ship
midweek	in the middle of the week
mincingly	in a mincing manner
ministerially	in the manner of a clergyman
minutely	in minute detail
miraculously	in a miraculous manner
miserably	in a miserable manner
mistily	in a misty manner
molto	much
momentously	in a momentous way
monotonously	in a monotonous manner
moodily	in a moody manner
morbidly	in a morbid manner or to a morbid degree
morosely	in a morose manner
morphologically	in a morphological manner
mortally	in such a manner that death ensues (also in reference to hatred, jealousy, fear, etc.)
motionlessly	without moving
sadly	with sadness
mournfully	in a mournful manner
mundanely	in a mundane manner
mundanely	in a worldly manner
murderously	as if bent on murder
murkily	unclearly
musically	in a musical manner
unmusically	in an unmusical manner
musingly	in a reflective manner
mutually	in a mutual or shared manner
in_return	(often followed by `for') in exchange or in reciprocation
naively	in a naive manner
nakedly	without clothing
nakedly	in an exposed manner
narrow-mindedly	in a narrow-minded manner
broad-mindedly	in a broad-minded manner
nastily	in a nasty ill-tempered manner
nationally	extending throughout an entire nation
nattily	in a natty manner
jauntily	in a jaunty fashionable manner
nay	not this merely but also
nearer	(comparative of `near' or `close') within a shorter distance
nearest	(superlative of `near' or `close') within the shortest distance
necessarily	in an essential manner
necessarily	as a highly likely consequence
unnecessarily	in an unnecessary manner
neck_and_neck	even or close in a race or competition or comparison
nefariously	in a nefarious manner or to a nefarious degree
neglectfully	in a neglectful manner
negligently	in a negligent manner
nervously	in an anxiously nervous manner
neurotically	in a neurotic manner
nervously	with nervous excitement
nevermore	at no time hereafter
near	near in time or place or relationship
close_up	very close
nightly	at the end of each day
ninefold	by a factor of nine
nobly	in a noble manner
in_no_way	in no manner
nonstop	without stopping
nostalgically	in a nostalgic manner
notoriously	to a notorious degree
nutritionally	with regard to nutrition
numerically	in number
numbly	in a numb manner
nowise	in no manner
northeast	to, toward, or in the northeast
northwest	to, toward, or in the northwest
north-northeast	to, toward, or in the north-northeast
north-northwest	to, toward, or in the north-northwest
objectively	with objectivity
subjectively	in a subjective way
obscenely	to an obscene degree
obsequiously	in an obsequious manner
observantly	in an observant manner
obstreperously	in manner that attracts attention
obtrusively	in an obtrusive manner
unobtrusively	in an unobtrusive manner
officiously	in an officious manner
obstructively	in an obstructive manner
offside	illegally in advance of the ball or puck
onerously	in an onerous manner
opaquely	in an opaque manner
operationally	in respect to operation
oppressively	in a heavy and oppressive way
optimally	in an optimal and most desirable way
optimistically	with optimism
pessimistically	with pessimism
optionally	in an optional manner
obligatorily	in an obligatory manner
sumptuously	in a sumptuous and opulent manner
organizationally	with regard to organization
osmotically	by means of osmosis
ostentatiously	in an ostentatious manner
outlandishly	in an outlandish manner
outspokenly	in an outspoken manner
overbearingly	in an overbearing manner
overleaf	on or to the other side of a page
overmuch	more than necessary
oversea	beyond or across the sea
overside	over the side of a boat
owlishly	in an owlish manner
pacifistically	in a pacifistic manner
painstakingly	in a fastidious and painstaking manner
palatably	in a palatable way
unpalatably	in an unpalatable way
palely	in a pale manner
pallidly	in a manner lacking interest or vitality
pantingly	as someone winded and out of breath
parentally	in a parental manner
parenterally	by parenteral means
parenthetically	in a parenthetical manner
parochially	in a parochial manner
by	so as to pass a given point
patchily	in spots
paternally	in a paternal manner
pathetically	arousing scornful pity
pathetically	in a manner arousing sympathy and compassion
patriotically	in a patriotic manner
unpatriotically	in an unpatriotic manner
peaceably	in a peaceable manner
pedantically	in a pedantic manner
peevishly	in a peevish manner
pejoratively	in a pejorative manner
penetratingly	with ability to see into deeply
pensively	in a pensive manner
penuriously	in a penurious manner
perceptively	in a perceptive manner
perceptually	with regard to perception
perchance	through chance, "To sleep, perchance to dream.."
perfidiously	in a perfidious manner
perkily	in a perky manner
perpendicularly	in a perpendicular manner
perplexedly	in a perplexed manner
persistently	in a persistent manner
persuasively	in a persuasive manner
pertinaciously	in a dogged and pertinacious manner
pertinently	in a pertinent way
pervasively	in a pervasive manner
pettily	in a petty way
pharmacologically	with regard to pharmacology
phenomenally	to a phenomenal degree
philanthropically	in a philanthropic manner
philatelically	in a philatelic manner
phlegmatically	in a phlegmatic manner
picturesquely	in a picturesque manner
piecemeal	a little bit at a time
piercingly	extremely and sharply
piggishly	in a piggish manner
pinnately	having a pinnate shape
piping	(used of heat) extremely
piquantly	with strong spices
placidly	in a placid and good-natured manner
placidly	in a quiet and tranquil manner
pizzicato	with a light plucking staccato sound
point-blank	in a direct and unequivocal manner
posthumously	after death
prestissimo	extremely fast
rallentando	slowing down
recognizably	to a recognizable degree
unrecognizably	beyond recognition
regretfully	with regret (used in polite formulas)
piratically	in a piratical manner
pit-a-pat	describing a rhythmic beating
pit-a-pat	as of footsteps
piteously	in a piteous manner
pithily	in a pithy sententious manner
pitifully	to a pitiful degree
placatingly	in a placating manner
plaguey	in a disagreeable manner
plaintively	in a plaintive manner
playfully	in a playful manner
pleasingly	in a pleasing manner
plenarily	in a plenary manner
ploddingly	in a plodding manner
plop	with a short hollow thud
plump	straight down especially heavily or abruptly
pneumatically	in a pneumatic manner
pointlessly	in a pointless manner
poisonously	in a very malevolent manner
pluckily	in a plucky manner
plumb	conforming to the direction of a plumb line
ponderously	in a heavy ponderous manner
ponderously	in an uninterestingly ponderous manner
pop	like a pop or with a pop
popishly	like the Pope
portentously	in a portentous manner
possessively	in a possessive manner
post-free	having the postage paid by the sender
potently	in a manner having a powerful influence
poutingly	with a pout or in a pouting manner
powerfully	in a powerful manner
powerlessly	in a powerless manner
practicably	in a practicable manner
pragmatically	in a realistic manner
pre-eminently	to a preeminent degree
precariously	in a precarious manner
precious	extremely
preciously	in a precious manner
precipitously	abruptly
precipitously	very suddenly and to a great degree
precociously	in a precocious manner
predictably	in a predictable manner or to a predictable degree
prematurely	too soon
prematurely	(of childbirth) before the end of the normal period of gestation
presciently	with foresight
carnally	in a carnal manner
presentably	in a presentable manner
pressingly	in a pressing manner
presumptuously	in a presumptuous manner
pretentiously	in a pretentious manner
unpretentiously	in an unpretentious manner
preternaturally	in a supernatural manner
prettily	in a pretty manner
priggishly	in a priggish manner
primly	in a prissy manner
primitively	in a primitive style or manner
primitively	with reference to the origin or beginning
probabilistically	by the use of probability theory
problematically	in such a way as to pose a problem
warmly	in a warm manner
wastefully	to a wasteful manner or to a wasteful degree
prodigiously	to a prodigious degree
profanely	in an irreverent or profane manner
profanely	with curses
proficiently	in a proficient manner
profitlessly	without gain or profit
prohibitively	to a prohibitive degree
promiscuously	in an indiscriminate manner
promisingly	in an auspicious manner
prosaically	in a matter-of-fact manner
prosily	in a prosy manner
protestingly	in a protesting manner
proverbially	in the manner of something that has become a byword
providentially	in a providential manner
providentially	in a fortunately providential manner
provocatively	in a provocative manner
prudishly	in a prudish manner
pruriently	in a prurient manner
pryingly	in a curious and prying manner
psychologically	with regard to psychology
psychologically	in terms of psychology
pugnaciously	in a pugnacious manner
punctiliously	in a punctilious manner
pungently	with a pungent taste or smell
pungently	with pungency
punily	in a puny manner
punishingly	in a punishing manner
punitively	in a punishing manner
purposefully	in a purposeful manner
purposelessly	without a clear purpose
quaintly	in a quaint old-fashioned manner
quaintly	in a strange but not unpleasant manner
qualitatively	in a qualitative manner
quarterly	in three month intervals
quarterly	in diagonally opposed quarters of an escutcheon
queasily	in a queasy manner
queerly	in a questionably unusual manner
queerly	in a strange manner
unquestionably	without question
questionably	in a questionable and dubious manner
questioningly	in a quizzical and questioning manner
restfully	in a restful manner
quixotically	in a quixotic manner
racily	in a racy manner
radially	in a radial manner
radiantly	in a radiant manner
raggedly	with a ragged and uneven appearance
raggedly	in a ragged irregular manner
raggedly	in a ragged uneven manner
rampantly	in an uncontrolled and rampant manner
rapaciously	in a rapacious manner
raving	in a raving manner
ravishingly	in a ravishing manner or to a ravishing degree
reassuringly	in a reassuring manner
rebukingly	in the manner of someone delivering a rebuke
receptively	in a receptive manner
reflectively	in a reflective manner
refreshingly	in a pleasantly novel manner
refreshingly	in a manner that relieves fatigue and restores vitality
regally	in a regal manner
relevantly	with relevance
reminiscently	in a reminiscent manner
remotely	to a remote degree
remotely	in a remote manner
repellently	in a repellent manner
repetitively	in a repetitive manner
reputedly	by repute
resentfully	with resentment
reservedly	with reserve
resignedly	with resignation and acceptance
ripely	with mature or developed appearance
resoundingly	in a resounding manner
resourcefully	in a resourceful manner
respectably	in a decent and morally reputable manner
respectably	to a tolerably worthy extent
restrictively	in a restrictive manner
retail	at a retail price
wholesale	at a wholesale price
retentively	in a retentive manner
reticently	with reticence
retrospectively	in a manner contemplative of past events
revengefully	in a vindictive, revengeful manner
reverentially	with reverence
reversely	in an opposite way
rhetorically	in a rhetorical manner
right-down	positively
righteously	in a righteous manner
unrighteously	in an unrighteous manner
riskily	in a dangerously risky manner
roaring	extremely
robustly	in a robust manner
roguishly	in a playfully roguish manner
roguishly	like a dishonest rogue
romantically	in a romantic manner
roomily	with ample room
